geneSymbol,TR1,TR2,TR3,WR1,WR2,WR3,Entrez
PPCDC,4.830171,4.294133,5.52502,5.881799,5.380349,5.093662,60490
PPCS,22.378789,24.429894,23.775644,20.51313,20.275685,20.251679,79717
PPDPF,182.06688,186.590684,155.277939,114.829383,110.414977,160.587476,79144
PPEF1,0.071668,0.022331,0,0,0,0.027352,5475
PPEF2,0.073936,0.051943,0.080136,0.02561,0.108822,0,5470
PPFIA1,63.353688,61.026436,62.395981,61.766843,61.31648,59.755312,8500
PPFIA2,0.035164,0.049341,0.073535,0.062114,0.062111,0.051416,8499
PPFIA2-AS1,0.234259,0.07255,0.069792,0.301189,0.27516,0.266182,102724663
PPFIA3,4.152745,4.118325,3.689541,2.58949,1.856116,2.502048,8541
PPFIA4,5.246449,4.605238,4.671968,0.472725,0.447524,0.605721,8497
PPFIBP1,19.94012,21.909627,21.650495,21.179949,20.987197,20.714411,8496
PPFIBP2,10.294626,10.862886,11.063064,7.572838,6.897527,7.593782,8495
PPHLN1,56.278823,55.175363,54.744878,56.085192,57.455364,59.222028,51535
PPIA,4068.842782,4072.934072,4068.408468,4308.263567,4424.016097,4367.845206,5478
PPIAL4A,0,0,0,0,0.306052,0.297378,653505
PPIAL4G,0.114739,0.529933,0,0.469097,0.934541,0.525328,644591
PPIAP30,0.142563,0.131505,0.510873,0.589775,0.500913,0.802949,100192204
PPIAP46,0.841818,0.578431,1.323344,1.012167,1.228306,1.647632,729739
PPIB,1130.601562,1118.447777,1128.664249,1080.879968,1094.321447,1106.2802,5479
PPIC,30.578558,32.005945,26.769437,22.573098,22.085844,22.98786,5480
PPID,31.393925,32.704537,29.722276,44.032108,43.855389,45.064636,5481
PPIE,30.382467,32.533843,35.39758,38.210175,39.663207,34.764237,10450
PPIEL,1.177501,1.271352,1.349159,1.100719,1.215294,1.452347,728448
PPIF,104.610081,100.409561,102.810415,125.598322,129.601708,126.044908,10105
PPIG,69.195327,64.45458,62.758012,82.65086,80.091534,70.694288,9360
PPIH,63.373221,68.077321,66.797442,104.297894,106.632818,102.117952,10465
PPIL1,33.57035,32.685348,34.170113,51.677892,50.704661,49.135429,51645
PPIL2,59.53581,59.336708,60.178833,60.537179,57.850362,59.43933,23759
PPIL3,23.665511,24.849767,23.138219,26.664472,26.39902,24.032223,53938
PPIL4,29.678885,29.264278,28.841208,31.063414,31.136541,29.564439,85313
PPIL6,0.238833,0.326859,0.381171,0.420576,0.453166,0.309235,285755
PPIP5K1,5.715738,6.054473,6.190042,5.731076,5.767544,5.857473,9677
PPIP5K1P1-CATSPER2,0,0.090551,0.178194,0.015581,0.060659,0.052651,110006325
PPIP5K2,19.916968,20.36075,20.59313,26.179245,24.783872,23.201504,23262
PPL,2.845592,3.004779,2.940173,1.455266,1.56062,1.486566,5493
PPM1A,14.704623,13.105166,12.730519,12.535807,12.714145,12.148637,5494
PPM1B,30.304691,31.409088,30.506833,32.203946,32.164884,31.463176,5495
PPM1D,4.663587,5.119901,5.51035,6.029714,5.247335,5.567858,8493
PPM1E,0,0.009027,0,0,0.009558,0,22843
PPM1F,16.380437,16.563007,15.627967,18.210344,18.127876,19.150696,9647
PPM1G,100.104281,99.387109,99.545678,138.458322,135.947049,139.618121,5496
PPM1H,30.30119,29.132611,29.754659,26.097207,26.26042,26.357687,57460
PPM1J,0.19681,0.624428,0.316183,0.245132,0.185238,0.089938,333926
PPM1K,3.885838,3.809325,3.997217,3.369296,3.066416,3.218565,152926
PPM1L,2.941795,2.910296,2.944882,1.942317,2.212995,2.053472,151742
PPM1M,4.381773,4.337854,4.552014,3.960353,4.031278,3.003924,132160
PPM1N,0.239052,0.172234,0.195121,0.075302,0.092373,0.089701,147699
PPME1,30.850138,30.302866,32.580055,29.006439,31.657803,30.17147,51400
PPOX,6.377801,6.690651,7.018874,5.277184,5.699244,6.19846,5498
PPP1CA,941.33503,923.583551,933.434795,1027.783419,1030.704237,1053.754201,5499
PPP1CB,46.805309,45.299361,46.682612,43.115675,39.985178,36.683099,5500
PPP1CC,147.176187,149.496757,153.011895,206.59655,206.852827,198.917404,5501
PPP1R10,23.618777,23.00658,23.087903,24.217183,23.317289,24.668096,5514
PPP1R11,43.111081,44.090447,41.792631,44.556586,43.130842,45.672,6992
PPP1R12A,33.474686,32.521017,32.251705,34.880031,33.180171,32.111705,4659
PPP1R12A-AS1,1.519836,1.359704,1.096609,1.323957,0.735561,1.372806,105369865
PPP1R12B,8.849209,8.137926,8.744101,9.530047,6.463404,7.63144,4660
PPP1R12C,45.79273,48.271855,46.011492,36.917624,36.926453,42.704181,54776
PPP1R13B,5.964852,5.660111,5.989304,4.823625,4.926598,5.378039,23368
PPP1R13L,3.263482,2.82919,3.208052,1.702164,1.717007,1.862166,10848
PPP1R14A,3.628833,6.142054,4.292983,0.716023,1.70303,2.466368,94274
PPP1R14B,170.758206,170.63746,170.112498,210.185445,208.249214,212.413151,26472
PPP1R15A,67.500981,62.237102,65.766031,31.322402,30.981842,31.965434,23645
PPP1R15B,31.229055,29.654599,32.090832,35.04204,34.15565,31.830095,84919
PPP1R16A,18.792379,18.23001,18.402369,8.525637,9.026276,11.101754,84988
PPP1R16B,0,0.010329,0,0.013825,0.025993,0,26051
PPP1R18,13.991203,14.855338,13.864057,11.128293,11.679771,11.372297,170954
PPP1R1A,28.398309,28.354802,25.5,20.999302,15.760545,19.942734,5502
PPP1R1C,2.532507,2.755162,2.199556,2.78811,2.896354,2.419991,151242
PPP1R2,16.749212,19.773755,17.902408,13.9991,12.751936,17.049176,5504
PPP1R21,8.744963,8.743292,9.041285,7.494246,8.565585,7.398949,129285
PPP1R26,0.203102,0.198501,0.316493,0.18563,0.16523,0.217285,9858
PPP1R26-AS1,0.063281,0.223462,0.097406,0.059781,0.025667,0,100506599
PPP1R27,0,0.092372,0,0,0,0.112903,116729
PPP1R2B,0.133096,0.031204,0.113645,0.046583,0.063533,0.03781,153743
PPP1R2P2,0.100152,0.031174,0.089369,0.069314,0.196431,0,54036
PPP1R32,0,0.129047,0.250141,0.064612,0.054924,0,220004
PPP1R35,39.33928,35.667086,44.037196,34.756804,36.521605,37.841497,221908
PPP1R36,1.041865,0.68827,0.49561,0.411357,0.403285,0.420955,145376
PPP1R37,36.40509,36.727381,35.615075,22.19192,21.00693,27.191774,284352
PPP1R3B,14.71552,14.59359,15.739132,10.334505,10.551997,10.355573,79660
PPP1R3C,10.552427,10.96819,12.427029,4.911322,4.777825,5.62118,5507
PPP1R3D,5.490014,5.307591,5.25657,4.02816,4.431656,4.18668,5509
PPP1R3E,3.299511,3.152589,3.460107,1.874273,1.918613,1.836758,90673
PPP1R3F,7.730545,8.090624,7.751226,7.931775,5.50604,6.583349,89801
PPP1R3G,2.699633,3.239248,2.615933,0.400303,0.362997,0.528777,648791
PPP1R42,0,0,0,0.030823,0,0,286187
PPP1R7,98.778541,102.647739,102.818422,100.383794,101.441955,96.532847,5510
PPP1R8,54.852281,53.817918,54.690753,66.786544,63.88014,63.408794,5511
PPP1R9A,4.782372,4.314721,4.629996,4.576577,5.138469,3.701466,55607
PPP1R9B,7.197469,7.25512,7.265413,7.431307,7.741658,8.397469,84687
