Entrez,TRAb_R1,TRAb_R2,TRAb_R3,WTAb_R1,WTAb_R2,WTAb_R3
11343,3.28532734411851,3.35733057990865,3.29299727862944,3.39135642831189,3.38487792782335,3.36794833340993
3945,3.67133956442212,3.22761531830888,3.6374664634259,3.56211712279774,3.4244223208112,3.25303873234518
10728,3.53914948503636,3.49046073454534,3.49433410083121,3.51898876035581,3.51021180106088,3.23485319280152
3420,3.40054215390169,3.46173874289297,3.44749153961607,3.46421096545805,3.51307441050946,3.50650785779731
3081,3.43161196011498,3.45908746106613,3.42273687067191,3.50866908790973,3.47801199428938,3.49371471706887
10007,3.25678621053404,3.28741775582693,3.1717512326291,3.15929870921279,3.40106049071648,3.39663958001802
523,3.46055672987886,3.45890878598162,3.39264059314973,3.49846078198379,3.46280161539248,3.52010303248122
226,3.82064504598749,3.78599290640336,3.85055188577543,3.77142066487593,3.75612097394202,3.7839521171071
56267,3.48757404619655,3.02537968498006,3.53326536278398,3.27425087360355,3.28229511946924,3.21589083380112
4831,3.66665050273329,3.68557192721843,3.62390301783313,3.73232929852177,3.68689986663894,3.70544200548741
526,3.526163948526,3.44603906835053,3.51186954727599,3.43904756759086,3.43527890664612,3.43514042233977
2224,3.21166838385899,3.52664058640978,3.53321443344899,3.50515793690223,3.51701976849826,3.49304296988139
6389,3.44754845744294,3.4615455993054,3.41174319321927,3.46136920368438,3.48842276244034,3.52307741334101
23193,3.42991923817543,3.49031256354905,3.39749126959804,3.51073490050024,3.4899321255463,3.47510270099481
8833,3.43961991148441,3.45364574737756,3.41970454231509,3.54684097025187,3.45818102059881,3.47545276655265
4942,3.40752846492516,3.4627954784621,3.44602091339637,3.47229580622322,3.52372313645562,3.48130830034397
56913,3.48559290691682,3.22568368689687,3.38199059921884,3.43471974071615,3.44559770105267,3.4210356723869
37,3.32406805516717,3.39457088412811,3.32629736978507,3.35874603678546,3.39889303857867,3.45650829410355
35,3.36822472487936,3.37374547526652,3.37214743747313,3.36128546419945,3.44104801827511,3.48705229643306
10327,3.50727518629495,3.49759161751603,3.46544786935748,3.43295962567845,3.44977038553863,3.44090177138893
56922,3.86598798391451,3.89956008601219,3.88851807967115,3.94410235705078,3.91990777496024,3.91270621416494
6241,3.60782778150911,3.23092809112865,3.66250271168869,3.42498136174531,3.43255244298611,3.42378254682458
2584,3.42243533357619,3.25824422295641,3.43583762522254,3.29487669704343,3.2671783332462,3.36980065281748
