Entrez,TRAb_R1,TRAb_R2,TRAb_R3,WTAb_R1,WTAb_R2,WTAb_R3
4249,3.64739357187796,3.2307845846754,3.72197892633673,3.60117927347633,3.30428687694983,3.26492865456758
521,3.45983880531522,3.27101087185391,3.49377410691818,3.49751186791092,3.45440457452907,3.61178203450459
204,3.37350461804229,3.52186443390168,3.34275036597478,3.49332344345194,3.51370110301827,3.54566029673342
8402,3.37677501947091,3.4699604224009,3.41715638572993,3.49633542342935,3.4835623955376,3.54878286485903
55361,3.4476711750131,3.63529000039048,3.49227687574986,3.52947385458324,3.49474978718814,3.18364038329098
80347,3.51190280615254,3.54574210915711,3.14542435983435,3.54396865414507,3.50170868612855,3.53356010234061
7086,3.48513694007249,3.45970067679121,3.57148113492132,3.43745131450604,3.40889420052417,3.4300549511358
28976,3.37982784161145,3.47964358934947,3.41358111655052,3.49349352399198,3.49315685129771,3.53308016619769
7355,3.43585104742918,3.29483477090319,3.50775837914894,3.58183066442719,3.57848046277764,3.38928561884198
5464,3.55193448299757,3.38221233980444,3.60127183282113,3.43447257706888,3.46344556189819,3.35650121340771
2731,3.48565685809292,3.30891121725651,3.45787790925037,3.48706708834949,3.55380346084664,3.49769102779425
873,3.68791528765044,3.28030639512421,3.59382387549572,3.52609220930411,3.47272024520835,3.21704181693058
22978,3.42941835745988,3.47771379917262,3.33825528208044,3.57572427639441,3.59946593396807,3.36811043731503
1327,3.4180422111506,3.46593658067193,3.40713968185636,3.49329632258062,3.47900861453368,3.52991583635269
26275,3.56364258130501,3.29463125627512,3.37945811855621,3.59685143836764,3.54568708924127,3.40682277274132
1666,3.30861680338329,3.52167831131147,3.42558850863599,3.49060080539417,3.52622877761733,3.51808005134269
3422,3.47902179486483,3.5667120473511,3.46620179022416,3.41451344158654,3.46183801885403,3.40444701631515
8802,3.36077307824568,3.44209715558926,3.4735605407336,3.46065872937081,3.51388823550799,3.5414700494148
6319,3.53316031853433,3.48429381276585,3.47777804561169,3.43382202769531,3.42305906529141,3.44145438491335
27068,3.29874642341101,3.49975805223995,3.45994015984303,3.56907836178024,3.57902629908422,3.38192183324175
10476,3.42338031345105,3.45394883709628,3.42152490360114,3.52081257398766,3.50200408628894,3.47191689964682
1808,3.50610636070841,3.4772540942214,3.4992254876273,3.42513761977388,3.45448118681928,3.43162846573913
230,3.5277171090529,3.4757346800614,3.49511709497695,3.47250712109439,3.41104911983534,3.41120923140119
7360,3.41785383608334,3.49594339325284,3.36104803463949,3.53804928728854,3.46178789368845,3.51752846696639
51071,3.5061572147442,3.36447321989173,3.41046160581887,3.51477031458083,3.43600058761071,3.55984501269882
9551,3.15566459963407,3.55419870275355,3.52682696292332,3.52783569283218,3.5154967284312,3.50303690994259
5825,3.36025822970486,3.48596635902149,3.43752954063142,3.50893466949145,3.50966828001799,3.49039155929648
231,3.61319773394531,3.38730458080511,3.51613253314455,3.482942151658,3.43348776286375,3.35698017662396
2271,3.3662612829616,3.46821398578241,3.45736189752743,3.4938031323944,3.49881124129884,3.50860043681136
6723,3.6139450078635,3.33342605978693,3.57797841187014,3.46370070830915,3.47565594440003,3.32244216145289
9550,3.52476934155023,3.40118299415789,3.57744884733145,3.39130911284364,3.44412356840488,3.4529452526765
534,3.52476934155023,3.40118299415789,3.57744884733145,3.39130911284364,3.44412356840488,3.4529452526765
205,3.45005066745585,3.43970586330974,3.42654454822279,3.47328465003673,3.50199491638691,3.50231771875817
6510,3.3331357878227,3.4872872700262,3.46102933835941,3.4636781364729,3.52150990292787,3.52531438460387
509,3.43121311125754,3.47432880992549,3.40103396671699,3.4695181162538,3.4961362185529,3.52123882657145
2739,3.57181985132485,3.38642607000673,3.54472638519894,3.44700793955666,3.41321534279072,3.42838443135299
11343,3.40271998880776,3.4765083163796,3.41058133113001,3.51136860655573,3.50473167693691,3.48738708187309
3945,3.67133956442212,3.22761531830888,3.6374664634259,3.56211712279774,3.4244223208112,3.25303873234518
10728,3.53914948503636,3.49046073454534,3.49433410083121,3.51898876035581,3.51021180106088,3.23485319280152
3420,3.40054215390169,3.46173874289297,3.44749153961607,3.46421096545805,3.51307441050946,3.50650785779731
3081,3.43161196011498,3.45908746106613,3.42273687067191,3.50866908790973,3.47801199428938,3.49371471706887
