Entrez,TR1,TR2,TR3,WR1,WR2,WR3
10555,3.99692794038137,4.01042416615046,3.98429959287207,2.78868427559765,2.80740777253511,3.01363307654876
56894,3.63477986237846,3.69667332016277,3.48789744320404,3.38344227020205,3.26035694699722,3.31585138210425
56895,3.16670208979375,4.56270088930283,5.5045721858817,3.7154647355948,1.48970737599341,0.780915505574066
55326,3.35421007819885,3.43116216937933,3.2652716657158,3.62874401134265,3.66477018473241,3.43816129430251
189,4.01370789310191,4.17431418683574,4.20794432095961,2.77823333872389,2.46336664484126,2.83805411696524
64902,3.15531792254062,3.34299877387689,3.36604962493297,3.60128761073205,3.85714768288197,3.44205469863735
191,3.29680358416061,3.2239030428838,3.19623450316744,3.67664389287112,3.67668350209445,3.69411486652851
10768,3.32955174587227,3.2705916139691,3.37169876518189,3.61553534403765,3.61677064846097,3.577951986201
23382,3.59440563789836,3.66549119848807,3.82106576563739,3.20579485091879,3.17079546228,3.30034089787344
57379,2.87986088971844,2.40995663238801,2.27731989733701,3.44515111209718,4.03788922674692,5.13143997147048
203,3.49936449638135,3.41220422331944,3.45616583492951,3.39759638778241,3.42728019001313,3.59899486530201
204,3.0642066779644,3.07874045384163,3.00481863100027,3.88586041737864,3.88617362318214,3.77745208869254
50808,3.65130620437991,3.59806235278002,3.5178071003334,3.47359310087634,3.22268138837585,3.31744332879042
205,4.14468053922125,4.15705495753275,4.15828181259797,2.69675039379782,2.67779462525591,2.62999267499009
26289,3.5051539367951,2.40607572627079,4.3319237623877,3.63116528584053,3.55796614901633,3.16518325254346
122481,4.53882003434391,4.1767347176337,4.86071460603807,1.86221122247,2.61656936230132,1.79928113576301
10327,3.81646383343803,3.8098453769596,3.82103295510126,3.04648515739743,3.07742409730642,3.14357356366026
231,3.19611655552828,3.00202305087753,3.47714544851884,3.67544996460094,3.58731093659122,3.81026489059029
1645,3.54410501341277,3.53107757349419,3.66279271000147,3.28094524483891,3.39065094285222,3.37511270365326
1109,3.38835413459913,3.32035958738001,3.41166082759989,3.55184637475509,3.57020217668105,3.54651141343109
6718,2.74895682380659,2.52578765360377,3.06984392795776,4.41579033928874,4.23488431668702,3.49316507403812
8574,3.71551482919787,3.35298179967588,3.47325458313679,3.41404222959115,3.33214800271021,3.49673096014212
210,3.43580966990091,3.52329341961965,3.40489410175778,3.38428714080403,3.52300141173954,3.52104304530254
211,3.89153024328359,3.90321058692309,3.88741202708448,2.98046062503197,2.90397314965967,3.1052716794697
5832,3.28370146948692,3.21864325859012,3.27331576383673,3.68308759383648,3.68931824272566,3.62110679409584
216,3.18466706458024,3.20584431519881,3.31464490140603,3.72383163394624,3.72378151260183,3.60935824140671
8854,3.43211707230154,4.75349476326642,3.67310626407183,1.87490062397001,3.38167619051327,3.26051355942302
220,0,9.72955074527657,0,0,0,0
219,3.04046587798985,3.0179789779985,2.97537411804646,3.76107181909241,3.90968622068263,3.97362033436728
10840,3.10451017913396,2.95180553148165,1.13915251898207,2.3368849700144,5.8514152061651,4.07720978837611
160428,3.46834333212435,3.26384789541416,4.33666817388128,3.85030078911002,4.13610758409358,1.11850320464869
217,3.43665387999114,3.47417178972177,3.4148592088357,3.45232202667435,3.43452734264109,3.58009858443109
218,3.71886155887984,3.84621985486996,3.49284059997726,4.00588672918069,3.15340294443307,2.41239644917534
224,3.226639883694,3.14181351535344,3.22150171485431,3.78313061716358,3.7094459050689,3.66957853944607
221,4.4783835672831,4.10607576607906,4.14835699265243,2.4949109572399,2.33622347753591,2.77673595942075
222,0,7.46108709742762,0,6.3390385088631,0,0
8659,3.68674158179816,3.76716046878758,3.71944496360513,3.23959544248154,3.16700334263192,3.17141251545799
7915,3.41276280045673,3.31311857537938,3.22232534507635,3.61602399459236,3.66703428276884,3.54767170591335
4329,3.88506386184577,3.48028306999188,3.38171055713003,3.31559182260829,3.30164421515263,3.40606299826183
501,3.13092226792338,3.1105687103486,3.1561594235287,3.79165016385169,3.79728969765883,3.74510284419931
223,3.3468374021229,3.42772917917775,3.37213148540179,3.55146200390044,3.50558181833021,3.58590222053658
226,3.9363621976061,3.95138386258427,4.00540540600976,2.90663884093099,2.90397387852569,2.92441439293114
229,3.06149456382174,2.11397340226242,1.12043887380318,5.06543676957904,4.88624355419118,3.38179680723307
230,5.06732080875502,4.6731172748439,4.76861500481243,1.71850213983035,1.46080072612146,1.51453653669794
84920,2.99238274396874,3.42564633902145,3.5359864329925,3.61287479700618,3.68797754469386,3.50978167931588
29929,3.25030728610548,3.36290355163447,3.15781742171386,3.79070362373735,3.65446458134128,3.54821983778802
79053,3.21840542949518,3.17289058098486,3.11668447549059,3.83372146763224,3.69306742712508,3.70821004145852
239,0,0,0,9.72955074527657,0,0
